% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 20 2025, 09:51
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
42800                                             42800                                             -47.018870196249665                               6.809130541746145E-5-5.7532779967450765E-5i
42950                                             42950                                             -50.7084013238446                                 2.7672402445166888E-5-5.1305074177943055E-5i
43100                                             43100                                             -55.56146116467555                                -9.79695685160431E-6-3.186739583893594E-5i
43250                                             43250                                             -53.88452629348499                                -4.0434994247329215E-5-5.904348289176298E-7i
43400                                             43400                                             -48.7646481785231                                 -6.091840659572245E-5+4.006335741779665E-5i
43550                                             43550                                             -45.13769163002402                                -6.881324949770118E-5+8.671275661842337E-5i
43700                                             43700                                             -42.54250973784826                                -6.298401172788459E-5+1.3530546291762313E-4i
43850                                             43850                                             -40.59094740753132                                -4.453208983579149E-5+1.8146110062577936E-4i
44000                                             44000                                             -39.05855336162087                                -2.721797404015014E-5+2.2122798368073848E-4i
44150                                             44150                                             -37.706775475410296                               7.22062143858615E-5+2.502201298718587E-4i
44300                                             44300                                             -36.88662408782277                                1.1031565552255262E-4+2.641058444461386E-4i
44450                                             44450                                             -36.18610200398547                                1.6516597363808172E-4+2.626424813763073E-4i
44600                                             44600                                             -35.66740208863266                                2.2059878203423144E-4+2.445581946115549E-4i
44750                                             44750                                             -35.321071878683334                               2.703822268217415E-4+2.1064291946093494E-4i
44900                                             44900                                             -35.13980376977799                                3.095935234780356E-4+1.6320515225920484E-4i
