% Model:              FEM_BEM_model_stl_ThreeProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 13 2025, 09:42
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
31100                                             31100                                             -40.74951058569201                                9.884924178166221E-5-1.5455881085313372E-4i
31250                                             31250                                             -41.70717582817257                                7.334241050482859E-5-1.4703592478593208E-4i
31400                                             31400                                             -42.85749959512303                                5.061755423074743E-5-1.347370037584339E-4i
31550                                             31550                                             -44.24648265900374                                3.160715947247983E-5-1.1851862371514699E-4i
31700                                             31700                                             -45.94592684561854                                1.7000708601278003E-5-9.942033843757248E-5i
31850                                             31850                                             -48.075840527095124                               7.210731990670016E-6-7.859918355468398E-5i
32000                                             32000                                             -50.856284450208584                               2.3568037103016692E-6-5.725958626368044E-5i
32150                                             32150                                             -54.73991475756547                                2.2624581502705965E-6-3.6576742603822154E-5i
32300                                             32300                                             -60.54543448985457                                6.477921158265509E-6-1.763027968193498E-5i
32450                                             32450                                             -62.869456126263195                               1.431101545112945E-5-1.3368824691717407E-6i
32600                                             32600                                             -57.24935827767031                                2.487989180788297E-5+1.1600084498519792E-5i
32750                                             32750                                             -53.44066184355797                                3.717082110749059E-5+2.0727863405012315E-5i
32900                                             32900                                             -50.996512982387216                               5.0106406335403975E-5+2.5869153855939686E-5i
33050                                             33050                                             -49.33987870249794                                6.261659833950439E-5+2.7125555975726634E-5i
33200                                             33200                                             -48.20253929444178                                7.370597969602599E-5+2.486231493281643E-5i
33350                                             33350                                             -47.44909056000418                                8.251971362827071E-5+1.968470118118848E-5i
33500                                             33500                                             -47.00794021202359                                8.83908850066728E-5+1.2390410612628244E-5i
33650                                             33650                                             -46.842062672030515                               9.089172273307744E-5+3.91512852493392E-6i
33800                                             33800                                             -46.93805447342757                                8.985170172332024E-5-4.730144245734813E-6i
33950                                             33950                                             -47.30186090313509                                8.53708547179366E-5-1.2528960900870523E-5i
34100                                             34100                                             -47.960290943252545                               7.781192996580977E-5-1.8523149095783786E-5i
34250                                             34250                                             -48.96825234707223                                6.777696581194981E-5-2.1884497993895913E-5i
34400                                             34400                                             -50.42657874812136                                5.6065926207604644E-5-2.19635491431891E-5i
34550                                             34550                                             -52.51859559632117                                4.362883106007187E-5-1.8337929868494918E-5i
34700                                             34700                                             -55.568506971766006                               3.1497392292745285E-5-1.0845448524476886E-5i
34850                                             34850                                             -59.68815839426037                                2.0727059776959322E-5+4.086131089042766E-7i
35000                                             35000                                             -60.243920242084926                               1.231736415208129E-5+1.5047787326638584E-5i
35150                                             35150                                             -55.58979030359453                                7.16067467843029E-6+3.245010322083797E-5i
35300                                             35300                                             -51.68073668076032                                5.966405460466895E-6+5.177601500983009E-5i
35450                                             35450                                             -48.80034395214879                                9.22443285494845E-6+7.202443471876485E-5i
35600                                             35600                                             -46.58816322275263                                1.7166201784213353E-5+9.2088282021896E-5i
35750                                             35750                                             -44.826018003531715                               2.9746842091227244E-5+1.1082083271485299E-4i
35900                                             35900                                             -43.38883126340558                                4.663902329915537E-5+1.2710393105164197E-4i
36050                                             36050                                             -42.200691693105256                               6.724788565681816E-5+1.399152131812409E-4i
36200                                             36200                                             -41.21285581547535                                9.07379441822398E-5+1.4839151198731138E-4i
36350                                             36350                                             -40.39303184783718                                1.1607137424868297E-4+1.5187642551806046E-4i
36500                                             36500                                             -39.71925338093167                                1.4205630610769626E-4+1.4997061694355107E-4i
36650                                             36650                                             -39.17772654817738                                1.6738494429663353E-4+1.4254869758068E-4i
36800                                             36800                                             -38.76244189100125                                1.9063870256980087E-4+1.2978885711534272E-4i
36950                                             36950                                             -38.481780229597604                               2.1012767005623711E-4+1.1218467055129633E-4i
37100                                             37100                                             -38.4054869737153                                 2.225293138560236E-4+9.069340324274755E-5i
37250                                             37250                                             -40.25025963067851                                1.7889141582927426E-4+7.588174313422069E-5i
37400                                             37400                                             -37.314937122093454                               2.700817617484752E-4+3.582721064454564E-5i
37550                                             37550                                             -37.636294399870785                               2.624362942894032E-4+7.792728273670058E-6i
37700                                             37700                                             -37.847404952174195                               2.5544900244905966E-4-2.0214400279328082E-5i
37850                                             37850                                             -38.10935181037252                                2.4420338251190943E-4-4.6734478509224964E-5i
38000                                             38000                                             -38.453147378137345                               2.2833896588264624E-4-7.053841947413098E-5i
38150                                             38150                                             -38.89310943509714                                2.083431010110881E-4-9.05812191851485E-5i
38300                                             38300                                             -39.44100663753147                                1.8507423163183212E-4-1.0602864687891955E-4i
38450                                             38450                                             -40.10988850032017                                1.5960744965004547E-4-1.1630154256658809E-4i
38600                                             38600                                             -40.916304535605896                               1.3313659720576299E-4-1.2110339777160473E-4i
38750                                             38750                                             -41.88264552860129                                1.0688681518972176E-4-1.2043581744958232E-4i
38900                                             38900                                             -43.040068833903575                               8.2049048595767E-5-1.145920226438557E-4i
39050                                             39050                                             -44.43451779581996                                5.968950169427112E-5-1.0414083288801113E-4i
39200                                             39200                                             -46.13606457537247                                4.069610243878641E-5-8.989695874050962E-5i
39350                                             39350                                             -48.25824813370044                                2.5683687384536746E-5-7.289674199051355E-5i
39500                                             39500                                             -50.98953552776098                                1.483076315084153E-5-5.4452056683196304E-5i
39650                                             39650                                             -54.44734152173007                                5.966780453670051E-6-3.7429458673243765E-5i
39800                                             39800                                             -61.51346460099912                                1.4232719862117271E-5-8.92924464257483E-6i
39950                                             39950                                             -62.28393553880671                                1.45226464289272E-5+5.050055870481351E-6i
40100                                             40100                                             -56.9785113219988                                 2.051776778611014E-5+1.9521395977828426E-5i
40250                                             40250                                             -53.35983311717339                                2.9497868777317304E-5+3.122846368153187E-5i
40400                                             40400                                             -50.99876325275109                                4.026699791664923E-5+3.945613710110152E-5i
40550                                             40550                                             -49.38707061491964                                5.172280363718862E-5+4.39438177615159E-5i
40700                                             40700                                             -48.278202365008426                               6.280099332900413E-5+4.4746380341686987E-5i
40850                                             40850                                             -47.545480138316385                               7.251705574795597E-5+4.2193518848376854E-5i
41000                                             41000                                             -47.12100623006564                                8.00207060927538E-5+3.68569064924662E-5i
41150                                             41150                                             -46.9701413750051                                 8.464976619743103E-5+2.9504689983861354E-5i
41300                                             41300                                             -47.081168813273095                               8.596658051962525E-5+2.104797572943795E-5i
41450                                             41450                                             -47.461311105379586                               8.379166187982845E-5+1.2478980830121778E-5i
41600                                             41600                                             -48.1390502663003                                 7.820958392884547E-5+4.80327450991247E-6i
41750                                             41750                                             -49.171553809119935                               6.956725448936663E-5-1.0283221728579761E-6i
41900                                             41900                                             -50.66261295516082                                5.845079753269422E-5-4.182302705935115E-6i
42050                                             42050                                             -52.798850224174664                               4.564850258365061E-5-3.9999860561579226E-6i
42200                                             42200                                             -55.89073158418877                                3.209910721441167E-5-4.687588583962565E-8i
42350                                             42350                                             -59.82407145916562                                1.8834401773026865E-5+7.86139941011399E-6i
42500                                             42500                                             -59.65159717227688                                6.911170481294082E-6+1.9637898727498104E-5i
42650                                             42650                                             -55.13240452071295                                -2.660048098124257E-6+3.492640044500117E-5i
42800                                             42800                                             -51.3928221872661                                 -8.975821178647259E-6+5.312223345865785E-5i
42950                                             42950                                             -48.60434541311017                                -1.1309603003106794E-5+7.340373305297909E-5i
43100                                             43100                                             -46.445877753448855                               -9.155011010009151E-6+9.478061683332317E-5i
43250                                             43250                                             -44.71797702098175                                -2.2735106395277427E-6+1.1615769198158876E-4i
43400                                             43400                                             -43.30388054072746                                9.274936914549503E-6+1.364062729287685E-4i
43550                                             43550                                             -42.131832185776446                               2.5094005370429606E-5+1.5444732207636758E-4i
43700                                             43700                                             -41.155298575485595                               4.4351718084867375E-5+1.693811057343897E-4i
43850                                             43850                                             -40.342443435360124                               6.524423908449428E-5+1.8085992332028678E-4i
44000                                             44000                                             -39.642710685373615                               7.749589612449093E-5+1.9345360018785396E-4i
44150                                             44150                                             -38.998935390225185                               1.4298830759895687E-4+1.7298469922299997E-4i
44300                                             44300                                             -38.6463536012529                                 1.5695587083991436E-4+1.7318784097020146E-4i
44450                                             44450                                             -38.325088946902945                               1.7940714880509967E-4+1.6320725109375545E-4i
44600                                             44600                                             -38.09538089759272                                2.0068223760816295E-4+1.4746264410581134E-4i
44750                                             44750                                             -37.95830658109764                                2.187542276214649E-4+1.2709784481523823E-4i
44900                                             44900                                             -37.91277184078139                                2.3247623876665457E-4+1.0313439854370277E-4i
45050                                             45050                                             -37.95854824231806                                2.4108255636495768E-4+7.670015461813673E-5i
45200                                             45200                                             -38.09658831879978                                2.4412895624714714E-4+4.9014331261920674E-5i
