% Model:              FEM_BEM_model_stl_TwoProlSpheroids_1target.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 3 2025, 18:10
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Ps_Global_var_Point
79750                                             79750                                             -46.113873075198455                               -0.004071041654141183-0.0028098791878095053i
80000                                             80000                                             -44.96195403096337                                -4.3954832555925805E-4+0.005630969658254603i
80250                                             80250                                             -45.82311429404498                                0.004640217890028442-0.0021520780529384357i
80500                                             80500                                             -45.87855764829395                                -0.004130511094602163-0.0029614282819667714i
80750                                             80750                                             -45.89749908993006                                -5.405598755670038E-4+0.005042475471939145i
81000                                             81000                                             -45.90648890533571                                0.004648950940011609-0.002013165844751825i
81250                                             81250                                             -45.91139440416679                                -0.004041239113916628-0.0030504088634641935i
81500                                             81500                                             -45.91434139063025                                -6.608176419176104E-4+0.0050182205566629i
81750                                             81750                                             -45.915960378929306                               0.0046904947763382054-0.0018997177587540286i
82000                                             82000                                             -45.91235483430546                                -0.00396762548668661-0.0031446600722573326i
