% Model:              FEM_BEM_model_stl_ThreeProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 10 2025, 15:17
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
23750                                             23750                                             -71.57159483466684                                5.1231856627032E-6+1.2679898984124804E-6i
23900                                             23900                                             -38.545271766346715                               2.1330468865310426E-4+1.0206217369879145E-4i
24050                                             24050                                             -36.944040725063466                               2.0240187810971477E-4-1.9969725160984275E-4i
24200                                             24200                                             -48.12354563893599                                -3.0272456495950006E-5-7.242477189228769E-5i
24350                                             24350                                             -46.29769888157899                                9.563751495345052E-5-1.5341143683289538E-5i
24500                                             24500                                             -71.60137982130414                                5.067559107396757E-6+1.4086492490239522E-6i
24650                                             24650                                             -38.581529731843624                               2.0992839977013178E-4+1.0668066870767046E-4i
24800                                             24800                                             -36.9781978759226                                 2.062754458421745E-4-1.9406854206915902E-4i
24950                                             24950                                             -48.156636386975144                               -2.845270419060686E-5-7.283846575212305E-5i
25100                                             25100                                             -46.323233132218384                               9.568866633752338E-5-1.306006662193937E-5i
25250                                             25250                                             -71.61642156723326                                5.017786572969474E-6+1.54616173786426E-6i
25400                                             25400                                             -38.59676965458021                                2.0709103943167273E-4+1.1121941037273153E-4i
25550                                             25550                                             -36.98798123450469                                2.102876368900719E-4-1.8923735800990826E-4i
25700                                             25700                                             -48.16124641386019                                -2.6871100675562865E-5-7.339247102478019E-5i
25850                                             25850                                             -46.315116944944926                               9.602986671314317E-5-1.1072374830223275E-5i
26000                                             26000                                             -71.60244711408097                                4.986280023433487E-6+1.6717241845265463E-6i
26150                                             26150                                             -38.560349781623                                  2.0587019350826186E-4+1.1549566017210466E-4i
26300                                             26300                                             -36.93147694360588                                2.1476396229858086E-4-1.8696569495335602E-4i
26450                                             26450                                             -48.07749178091299                                -2.613504273601963E-5-7.446084627382721E-5i
26600                                             26600                                             -46.185747115319614                               9.757788273057066E-5-1.026794174763257E-5i
26750                                             26750                                             -71.46954923516326                                5.045524896385434E-6+1.7492168044030976E-6i
26900                                             26900                                             -38.24141651446607                                2.144350316627408E-4+1.1826008645199337E-4i
27050                                             27050                                             -36.36485620371831                                2.2307498414320115E-4-2.0643834058020616E-4i
27200                                             27200                                             -46.778491947127925                               -3.876545484293725E-5-8.304164564798544E-5i
27350                                             27350                                             -34.55391841770749                                1.1449819266362571E-4-3.564609155755072E-4i
27500                                             27500                                             -73.27080996723082                                3.5216843506935547E-6+2.5363988629401035E-6i
27650                                             27650                                             -39.87970004877895                                1.5663070502985876E-4+1.288033940435307E-4i
27800                                             27800                                             -37.93961956256478                                2.1328057178710003E-4-1.3709368592462745E-4i
27950                                             27950                                             -48.96829841589076                                -1.4389684401372449E-5-6.975336207604155E-5i
28100                                             28100                                             -47.02088302437087                                8.909974521487118E-5+1.9999885536581274E-6i
28250                                             28250                                             -72.0394868938772                                 4.469968760634213E-6+2.2425970785944216E-6i
28400                                             28400                                             -39.199199050109456                               1.7570064569111254E-4+1.3125825854565232E-4i
28550                                             28550                                             -37.57042403049274                                2.204785482734506E-4-1.4620616835325784E-4i
28700                                             28700                                             -48.741236306278765                               -1.4794101330206644E-5-7.159605361906074E-5i
28850                                             28850                                             -46.86952337236182                                9.064547153020408E-5+2.804182681948042E-6i
29000                                             29000                                             -71.96207791389162                                4.467028947074958E-6+2.3463352184505126E-6i
29150                                             29150                                             -39.12532984215606                                1.7499447589441885E-4+1.3528304497256727E-4i
29300                                             29300                                             -37.51933711018171                                2.2448795894325357E-4-1.428996946902794E-4i
29450                                             29450                                             -48.70850989445661                                -1.3395357670198393E-5-7.215159898310564E-5i
29600                                             29600                                             -46.84526563093911                                9.081654291276386E-5+4.7840556611777885E-6i
29750                                             29750                                             -71.943492889846                                  4.4111233742372136E-6+2.472005572462521E-6i
29900                                             29900                                             -39.1168839482326                                 1.7194712192952766E-4+1.3947757598176125E-4i
30050                                             30050                                             -37.51759015893508                                2.2790046752146909E-4-1.374955799827715E-4i
30200                                             30200                                             -48.713804933136096                               -1.1618013527447957E-5-7.241373289812447E-5i
30350                                             30350                                             -46.85095900667622                                9.060875602795448E-5+7.053357448327802E-6i
30500                                             30500                                             -71.94211272280684                                4.336685645645044E-6+2.601942644231414E-6i
30650                                             30650                                             -39.12745687955344                                1.6810573623904368E-4+1.436700193160334E-4i
30800                                             30800                                             -37.53128213246949                                2.310258851208613E-4-1.313305044049473E-4i
30950                                             30950                                             -48.73173369372509                                -9.69984103210697E-6-7.25429602166372E-5i
31100                                             31100                                             -46.86677795934365                                9.022594340390988E-5+9.431058490050326E-6i
31250                                             31250                                             -71.94520873445467                                4.2529877208319355E-6+2.7332794377832315E-6i
31400                                             31400                                             -39.1450682168927                                 1.638726263991641E-4+1.4781230336469164E-4i
31550                                             31550                                             -37.55074965636203                                2.3394923926001177E-4-1.2479006896892741E-4i
31700                                             31700                                             -48.75454144055417                                -7.714097133348918E-6-7.258790166120299E-5i
31850                                             31850                                             -46.88656381537954                                8.97317089414984E-5+1.1852349817265129E-5i
32000                                             32000                                             -71.94988130884094                                4.1617572001384495E-6+2.8654867308963716E-6i
32150                                             32150                                             -39.16538521161471                                1.5939783194907076E-4+1.5188067305060837E-4i
32300                                             32300                                             -37.57244855402185                                2.3669456971930902E-4-1.1802583091147234E-4i
32450                                             32450                                             -48.77932624542584                                -5.694236331621472E-6-7.256558205137598E-5i
32600                                             32600                                             -46.90760123530279                                8.915240922569012E-5+1.4300979328862873E-5i
32750                                             32750                                             -71.95431107593411                                4.067985386546624E-6+2.992775254284652E-6i
32900                                             32900                                             -39.18644217423712                                1.5474512668689488E-4+1.5586817226620475E-4i
