% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 14 2025, 11:13
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
35150                                             35150                                             -48.70938289644818                                7.334886031018506E-5-2.0374280265134104E-6i
35300                                             35300                                             -51.17879085323427                                5.505003894784588E-5-4.319498937310762E-6i
35450                                             35450                                             -55.2340733536326                                 3.456045915173345E-5+2.0285470959668928E-6i
35600                                             35600                                             -58.60060759057649                                1.53718950189341E-5+1.7770236545033846E-5i
35750                                             35750                                             -53.487754616433406                               1.1478440853363026E-6+4.231384896946633E-5i
35900                                             35900                                             -48.651333816730954                               -4.788824923496193E-6+7.371379505927145E-5i
36050                                             36050                                             -45.283683730596536                               5.921414469867159E-8+1.08854338978559E-4i
36200                                             36200                                             -42.80505294254088                                1.6974609718445333E-5+1.4380455853435503E-4i
36350                                             36350                                             -40.90549320186044                                4.577734897415198E-5+1.7428871566249615E-4i
36500                                             36500                                             -39.422609029969855                               8.476110495087008E-5+1.9622240773831123E-4i
36650                                             36650                                             -38.265116704090175                               1.3079692348755279E-4+2.062368354845967E-4i
36800                                             36800                                             -37.381361784896335                               1.7957121549672106E-4+2.0212684595033448E-4i
36950                                             36950                                             -36.75130694535662                                2.2573962994049124E-4+1.8318226976976604E-4i
37100                                             37100                                             -36.42584699686789                                2.616458843985314E-4+1.5044066541114454E-4i
37250                                             37250                                             -38.08632088084326                                2.210420274277869E-4+1.15275881647392E-4i
37400                                             37400                                             -35.11902471170589                                3.468959159339535E-4+5.229465527134547E-5i
37550                                             37550                                             -35.44617948013413                                3.3782904007090275E-4-3.5548527378415073E-6i
37700                                             37700                                             -35.74843606158537                                3.2116246409108484E-4-5.7636855519849206E-5i
37850                                             37850                                             -36.189215042211984                               2.917620345709304E-4-1.051989146538812E-4i
38000                                             38000                                             -36.807750793831204                               2.5142204903066956E-4-1.4216111278086974E-4i
38150                                             38150                                             -37.632653068898726                               2.038402215945867E-4-1.6565180535532686E-4i
38300                                             38300                                             -38.69859338799245                                1.535843619141497E-4-1.7432107798553975E-4i
38450                                             38450                                             -40.055711191282406                               1.0540079143234182E-4-1.6846611303944492E-4i
38600                                             38600                                             -41.78324391774225                                6.359982831005695E-5-1.4994986168193059E-4i
38750                                             38750                                             -44.01741589589618                                3.1541480889185625E-5-1.219249390683741E-4i
38900                                             38900                                             -47.02139832363691                                1.1264391042709043E-5-8.840212484262366E-5i
39050                                             39050                                             -51.400671182495344                               3.2973757869148024E-6-5.3725444201124795E-5i
39200                                             39200                                             -58.77941400287426                                6.689473173948635E-6-2.2024056060443442E-5i
39350                                             39350                                             -60.19788808771304                                1.9277011620355555E-5+3.2526392813592153E-6i
39500                                             39500                                             -53.349672056790716                               3.831685739991153E-5+1.9531569076747246E-5i
39650                                             39650                                             -49.338534184563116                               6.429509869965155E-5+2.2895770634967505E-5i
39800                                             39800                                             -48.80075013869985                                6.343629226590597E-5+3.53263792163272E-5i
39950                                             39950                                             -47.23668983883464                                8.395777649816694E-5+2.2556937059436954E-5i
40100                                             40100                                             -46.65954285289045                                9.247885609736661E-5+8.918933424029163E-6i
40250                                             40250                                             -46.65713530981388                                9.276390002549428E-5-5.615293945937516E-6i
40400                                             40400                                             -47.169695568397245                               8.567708800116813E-5-1.8293429210780587E-5i
40550                                             40550                                             -48.22964094623876                                7.284794630096902E-5-2.6575208273760254E-5i
40700                                             40700                                             -49.96139173317127                                5.667099706141432E-5-2.8707423244789254E-5i
40850                                             40850                                             -52.64887087475921                                3.99665531710669E-5-2.40050200409625E-5i
41000                                             41000                                             -56.88449269949706                                2.554094975498744E-5-1.293353933096153E-5i
41150                                             41150                                             -61.92094098282149                                1.5750724755125844E-5+2.9889901922430795E-6i
41300                                             41300                                             -58.18519838708603                                1.2134978308153688E-5+2.1453058691944804E-5i
41450                                             41450                                             -53.44460451694872                                1.517777168158485E-5+3.974048166865973E-5i
41600                                             41600                                             -50.42118787365073                                2.423330859308015E-5+5.5163718058914846E-5i
41750                                             41750                                             -48.456591072538785                               3.7625497717796996E-5+6.550748115830007E-5i
41900                                             41900                                             -47.20425144152812                                5.290443674366152E-5+6.939384583948272E-5i
42050                                             42050                                             -46.5040308656699                                 6.723390895557735E-5+6.65295310379177E-5i
42200                                             42200                                             -46.29067211185007                                7.783381701120806E-5+5.7783854264470413E-5i
42350                                             42350                                             -46.56152697045428                                8.243388961554077E-5+4.509509952432822E-5i
42500                                             42500                                             -47.37601695357273                                7.965662749720437E-5+3.120788460075907E-5i
42650                                             42650                                             -48.88427886507693                                6.927906018366903E-5+1.9289823669499384E-5i
42800                                             42800                                             -51.40489085536519                                5.233884451372184E-5+1.2455027330493529E-5i
42950                                             42950                                             -55.45002872290236                                3.10417329190682E-5+1.3297014029634013E-5i
43100                                             43100                                             -58.07880419034916                                8.506496252835838E-6+2.3456282077449764E-5i
43250                                             43250                                             -52.98243175311792                                -1.163784453594996E-5+4.332938519369112E-5i
43400                                             43400                                             -48.357741594511836                               -2.5762165070886134E-5+7.193471425126496E-5i
43550                                             43550                                             -45.090011893578634                               -3.0786526229675815E-5+1.0696650442676425E-4i
43700                                             43700                                             -42.664340470613844                               -2.4786619224226314E-5+1.4506551024695558E-4i
43850                                             43850                                             -40.793999909794714                               -8.02917603426323E-6+1.823515302898926E-4i
44000                                             44000                                             -39.28538882771342                                7.551095121016704E-6+2.1701903128223954E-4i
44150                                             44150                                             -38.085373423040416                               9.646419243175552E-5+2.2990503709408028E-4i
44300                                             44300                                             -37.259053264301684                               1.3030355022775053E-4+2.4126758266362902E-4i
44450                                             44450                                             -36.59405670805685                                1.7835542082000888E-4+2.3626182152314268E-4i
44600                                             44600                                             -36.12295934750017                                2.2582141792343302E-4+2.1604474628400538E-4i
44750                                             44750                                             -35.835039797185814                               2.668853731401799E-4+1.8203700215657648E-4i
44900                                             44900                                             -35.722794076645265                               2.9719603272293504E-4+1.3701214004402384E-4i
45050                                             45050                                             -35.783490641583285                               3.136933306780443E-4+8.489950105050603E-5i
45200                                             45200                                             -36.01921049444453                                3.148159657718197E-4+3.0379357535914586E-5i
45350                                             45350                                             -36.43687395244305                                3.006516498196832E-4-2.1646175762168873E-5i
